enddate,overruled_citation,overruled_index,overruling_citation,overruling_index,startdate
2/20/1950,334US699,245,339US56,435,6/14/1948
2/20/1950,335US451,272,339US56,435,12/13/1948
6/10/1957,351US470,1092,354US1,1203,6/11/1956
6/10/1957,351US487,1093,354US1,1203,6/11/1956
12/10/1962,348US437,942,371US195,1935,3/28/1955
1/21/1963,344US178,711,371US542,1953,12/8/1952
3/18/1963,339US276,450,372US368,1976,4/17/1950
3/18/1963,339US200,445,372US391,1977,4/3/1950
6/15/1964,332US46,125,378US1,2220,6/23/1947
6/15/1964,357US371,1367,378US52,2221,6/30/1958
6/15/1964,360US230,1491,378US52,2221,6/8/1959
6/22/1964,346US156,797,378US368,2235,6/15/1953
6/22/1964,357US433,1372,378US478,2237,6/30/1958
6/22/1964,357US504,1378,378US478,2237,6/30/1958
11/22/1965,369US153,1847,382US111,2404,3/26/1962
12/6/1965,359US41,1440,382US162,2410,3/9/1959
6/13/1966,357US433,1372,384US436,2513,6/30/1958
6/13/1966,357US504,1378,384US436,2513,6/30/1958
1/16/1967,366US117,1741,385US511,2571,4/24/1961
1/23/1967,342US485,639,385US589,2576,3/3/1952
5/29/1967,356US44,1300,387US253,2640,3/31/1958
6/5/1967,359US360,1468,387US523,2648,5/4/1959
1/29/1968,345US22,743,390US39,2740,3/9/1953
1/29/1968,348US419,939,390US39,2740,3/14/1955
5/20/1968,352US232,1125,391US123,2800,1/14/1957
5/20/1968,362US574,1602,391US234,2805,5/16/1960
6/17/1968,344US199,713,392US378,2857,12/15/1952
5/5/1969,335US281,260,394US814,2967,10/21/1948
6/16/1969,339US827,480,395US653,3007,6/5/1950
6/23/1969,331US145,94,395US752,3012,5/5/1947
6/23/1969,339US56,435,395US752,3012,2/20/1950
6/1/1970,370US195,1893,398US235,3118,6/18/1962
6/1/1971,369US153,1847,402US637,3271,3/26/1962
4/24/1972,401US493,3218,406US91,3395,3/23/1971
2/28/1973,335US188,256,410US484,3545,6/21/1948
6/21/1973,383US413,2459,413US15,3638,3/21/1966
3/25/1974,394US618,2957,415US651,3743,4/21/1969
1/21/1975,368US57,1803,419US522,3864,11/20/1961
1/19/1976,401US481,3215,423US325,4019,3/8/1971
3/3/1976,391US308,2808,424US507,4036,5/20/1968
6/24/1976,392US183,2840,426US833,4135,6/10/1968
6/25/1976,336US245,302,427US132,4141,2/28/1949
6/25/1976,354US457,1224,427US297,4147,6/24/1957
7/2/1976,402US183,3250,428US153,4165,5/3/1971
12/20/1976,335US464,273,429US190,4200,12/20/1948
1/12/1977,414US313,3694,429US363,4210,12/17/1973
3/7/1977,340US602,537,430US274,4239,3/26/1951
6/23/1977,388US365,2662,433US36,4335,6/12/1967
4/26/1978,330US422,62,435US734,4424,3/10/1947
6/6/1978,365US167,1700,436US658,4455,2/20/1961
6/14/1978,338US552,420,437US1,4461,1/16/1950
6/14/1978,348US373,934,437US1,4461,3/7/1955
6/14/1978,354US298,1215,437US1,4461,6/17/1957
6/14/1978,361US416,1556,437US1,4461,2/23/1960
6/14/1978,420US358,3892,437US82,4465,2/25/1975
2/27/1980,358US74,1396,445US40,4713,11/24/1958
6/25/1980,362US257,1576,448US83,4809,3/28/1960
6/27/1980,330US622,75,448US261,4816,3/31/1947
6/1/1982,453US420,4972,456US798,5082,7/1/1981
6/8/1983,378US108,2223,462US213,5259,6/15/1964
6/8/1983,393US410,2914,462US213,5259,1/27/1969
6/19/1984,332US218,133,467US752,5453,6/23/1947
6/19/1984,340US211,507,467US752,5453,1/2/1951
2/19/1985,426US833,4135,469US528,5524,6/24/1976
1/21/1986,451US527,4915,474US327,5684,5/18/1981
4/30/1986,380US202,2314,476US79,5738,3/8/1965
6/23/1987,377US436,2210,483US232,5968,6/8/1964
6/25/1987,395US258,2990,483US435,5975,6/2/1969
6/25/1987,377US184,2189,483US468,5976,5/18/1964
5/15/1989,416US396,3762,490US401,6224,4/29/1974
5/15/1989,346US427,826,490US477,6227,12/7/1953
6/12/1989,395US711,3011,490US794,6242,6/23/1969
5/30/1991,442US753,4644,500US565,6522,6/20/1979
6/24/1991,372US391,1977,501US722,6552,3/18/1963
6/27/1991,482US496,5949,501US808,6555,6/15/1987
6/27/1991,490US805,6243,501US808,6555,6/12/1989
5/4/1992,372US293,1973,504US1,6626,3/18/1963
6/29/1992,462US416,5268,505US833,6677,6/15/1983
6/29/1992,476US747,5766,505US833,6677,6/11/1986
6/6/1994,446US222,4745,511US738,6861,4/22/1980
6/3/1986,384US35,2482,476US573,5759,4/19/1966
7/2/1986,330US395,61,478US570,5816,3/10/1947
7/2/1986,430US188,4235,478US570,5816,3/1/1977
7/2/1986,443US307,4659,478US570,5816,6/27/1979
1/13/1987,394US244,2933,479US314,5842,3/24/1969
1/13/1987,401US646,3229,479US314,5842,4/5/1971
6/23/1987,332US495,154,483US266,5969,12/8/1947
6/23/1987,339US542,463,483US266,5969,5/15/1950
6/5/1989,401US424,3212,490US642,6236,3/8/1971
7/3/1989,410US113,3528,492US490,6289,1/22/1973
7/3/1989,439US379,4533,492US490,6289,1/9/1979
